@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 7.9414e-07 9.0000e+00 
  0.263 6.8825e-06 7.8000e+01 
  0.295 4.8001e-05 5.4400e+02 
  0.330 2.4204e-04 2.7430e+03 
  0.370 9.5394e-04 1.0811e+04 
  0.414 3.0967e-03 3.5095e+04 
  0.464 8.7862e-03 9.9574e+04 
  0.520 2.0342e-02 2.3054e+05 
  0.582 4.3044e-02 4.8782e+05 
  0.652 7.6727e-02 8.6955e+05 
  0.730 1.2446e-01 1.0654e+06 
  0.818 1.8842e-01 0.0000e+00 
  0.916 2.4850e-01 0.0000e+00 
  1.026 3.2634e-01 2.0000e+00 
  1.149 4.0018e-01 3.0000e+00 
  1.286 4.7670e-01 3.0000e+00 
  1.441 5.0689e-01 8.0000e+00 
  1.614 5.3351e-01 2.2000e+01 
  1.807 5.1015e-01 3.7000e+01 
  2.024 4.7967e-01 9.1000e+01 
  2.267 4.4514e-01 1.9200e+02 
  2.538 3.8221e-01 3.1600e+02 
  2.843 3.3473e-01 4.6800e+02 
  3.184 2.7346e-01 7.0900e+02 
  3.566 2.2971e-01 1.0950e+03 
  3.993 1.8102e-01 1.4730e+03 
  4.472 1.4460e-01 2.0640e+03 
  5.008 1.1672e-01 2.8560e+03 
  5.609 8.9465e-02 3.8820e+03 
  6.282 7.1652e-02 4.9970e+03 
  7.035 5.5597e-02 7.0760e+03 
  7.879 4.5576e-02 9.1090e+03 
  8.824 3.7659e-02 1.2483e+04 
  9.882 3.3599e-02 1.6198e+04 
 11.068 3.2038e-02 2.2206e+04 
 12.395 3.2656e-02 2.8541e+04 
 13.882 3.7516e-02 3.8873e+04 
 15.546 4.2829e-02 4.9950e+04 
 17.411 5.4347e-02 6.6420e+04 
 19.499 6.5228e-02 8.1564e+04 
 21.838 8.4346e-02 1.0510e+05 
 24.457 1.0077e-01 1.2486e+05 
 27.390 1.2594e-01 1.5099e+05 
 30.675 1.4299e-01 1.6276e+05 
 34.354 1.6745e-01 1.8075e+05 
 38.474 1.7641e-01 1.7793e+05 
 43.089 1.8974e-01 1.7688e+05 
 48.256 1.8235e-01 1.5726e+05 
 54.044 1.7996e-01 1.4294e+05 
 60.526 1.5900e-01 1.1563e+05 
 67.785 1.4438e-01 9.6262e+04 
 75.915 1.1816e-01 7.1819e+04 
 85.019 9.9782e-02 5.5428e+04 
 95.216 7.6841e-02 3.9233e+04 
106.636 6.1389e-02 2.9172e+04 
119.425 4.6124e-02 2.0042e+04 
133.748 3.3042e-02 1.3293e+04 
149.789 2.4819e-02 9.1990e+03 
167.754 1.7258e-02 6.0320e+03 
187.873 1.2522e-02 4.1330e+03 
210.406 8.4151e-03 2.5230e+03 
235.640 6.0089e-03 1.8030e+03 
263.902 3.9916e-03 1.1320e+03 
295.552 2.7768e-03 7.1800e+02 
330.999 1.8023e-03 4.4500e+02 
370.697 1.2547e-03 2.8200e+02 
415.156 7.9742e-04 1.8900e+02 
464.948 5.6235e-04 1.4900e+02 
520.711 3.3866e-04 8.9000e+01 
583.162 2.3683e-04 5.5000e+01 
653.102 1.5257e-04 3.1000e+01 
731.432 9.6885e-05 2.7000e+01 
819.155 6.3530e-05 1.4000e+01 
917.400 4.0939e-05 8.0000e+00 
1027.427 2.6207e-05 1.0000e+01 
1150.650 1.6148e-05 3.0000e+00 
1288.653 1.1735e-05 3.0000e+00 
1443.206 7.3237e-06 1.0000e+00 
1616.295 6.2650e-06 2.0000e+00 
1810.144 2.3822e-06 1.0000e+00 
2027.242 1.1471e-06 0.0000e+00 
2270.377 9.7062e-07 0.0000e+00 
2542.672 2.6472e-07 0.0000e+00 
2847.625 5.2943e-07 0.0000e+00 
3189.152 1.7648e-07 0.0000e+00 
3571.639 4.4119e-07 0.0000e+00 
4000.000 2.6472e-07 0.0000e+00 
