@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 1.7648e-07 2.0000e+00 
  0.235 1.5883e-06 1.8000e+01 
  0.263 1.2883e-05 1.4600e+02 
  0.295 8.4708e-05 9.6000e+02 
  0.330 4.1181e-04 4.6670e+03 
  0.370 1.7022e-03 1.9291e+04 
  0.414 5.4900e-03 6.2218e+04 
  0.464 1.5651e-02 1.7738e+05 
  0.520 3.6301e-02 4.1140e+05 
  0.582 7.6877e-02 8.7125e+05 
  0.652 1.3687e-01 1.5512e+06 
  0.730 2.2205e-01 1.9015e+06 
  0.818 3.3584e-01 0.0000e+00 
  0.916 4.4313e-01 0.0000e+00 
  1.026 5.6604e-01 0.0000e+00 
  1.149 6.4289e-01 0.0000e+00 
  1.286 7.1894e-01 0.0000e+00 
  1.441 7.2609e-01 0.0000e+00 
  1.614 7.3226e-01 0.0000e+00 
  1.807 6.7549e-01 0.0000e+00 
  2.024 6.1562e-01 0.0000e+00 
  2.267 5.5578e-01 0.0000e+00 
  2.538 4.6557e-01 0.0000e+00 
  2.843 3.9907e-01 0.0000e+00 
  3.184 3.1959e-01 0.0000e+00 
  3.566 2.6351e-01 0.0000e+00 
  3.993 2.0405e-01 0.0000e+00 
  4.472 1.6008e-01 0.0000e+00 
  5.008 1.2674e-01 0.0000e+00 
  5.609 9.4735e-02 0.0000e+00 
  6.282 7.3593e-02 0.0000e+00 
  7.035 5.4108e-02 0.0000e+00 
  7.879 4.1433e-02 0.0000e+00 
  8.824 3.0082e-02 0.0000e+00 
  9.882 2.2784e-02 0.0000e+00 
 11.068 1.6384e-02 0.0000e+00 
 12.395 1.2061e-02 0.0000e+00 
 13.882 9.0272e-03 0.0000e+00 
 15.546 6.4240e-03 0.0000e+00 
 17.411 4.7807e-03 0.0000e+00 
 19.499 3.3849e-03 0.0000e+00 
 21.838 2.5078e-03 0.0000e+00 
 24.457 1.7686e-03 0.0000e+00 
 27.390 1.3058e-03 0.0000e+00 
 30.675 9.1803e-04 0.0000e+00 
 34.354 6.6258e-04 0.0000e+00 
 38.474 4.8734e-04 0.0000e+00 
 43.089 3.4148e-04 0.0000e+00 
 48.256 2.5060e-04 0.0000e+00 
 54.044 1.7533e-04 0.0000e+00 
 60.526 1.2847e-04 0.0000e+00 
 67.785 8.9738e-05 0.0000e+00 
 75.915 6.5737e-05 0.0000e+00 
 85.019 4.5884e-05 0.0000e+00 
 95.216 3.2824e-05 0.0000e+00 
106.636 2.4001e-05 0.0000e+00 
119.425 1.6765e-05 0.0000e+00 
133.748 1.2265e-05 0.0000e+00 
149.789 8.4708e-06 0.0000e+00 
167.754 6.2649e-06 0.0000e+00 
187.873 4.3237e-06 0.0000e+00 
210.406 3.1766e-06 0.0000e+00 
235.640 2.2059e-06 0.0000e+00 
263.902 1.5883e-06 0.0000e+00 
295.552 1.1471e-06 0.0000e+00 
330.999 7.9414e-07 0.0000e+00 
370.697 5.2943e-07 0.0000e+00 
415.156 4.4119e-07 0.0000e+00 
464.948 2.6471e-07 0.0000e+00 
520.711 2.6471e-07 0.0000e+00 
583.162 4.4119e-07 0.0000e+00 
653.102 0.0000e+00 0.0000e+00 
731.432 0.0000e+00 0.0000e+00 
819.155 0.0000e+00 0.0000e+00 
917.400 0.0000e+00 0.0000e+00 
1027.427 0.0000e+00 0.0000e+00 
1150.650 0.0000e+00 0.0000e+00 
1288.653 0.0000e+00 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
