@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  0.00000000000000000000e+00  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  6.34056000000000000000e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5787e-12  3.6932e+23  7.3104e-02    0
  6.80361706026252563477e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3711e-12  3.9630e+23  6.8129e-02    0
  7.30049161315329956055e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1909e-12  4.2524e+23  6.3492e-02    0
  7.83365338196520019531e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0343e-12  4.5629e+23  5.9170e-02    0
  8.40575245620602294922e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.9827e-13  4.8962e+23  5.5143e-02    0
  9.01963246391279663086e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.8016e-13  5.2537e+23  5.1390e-02    0
  9.67834470595260009766e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.7758e-13  5.6374e+23  4.7893e-02    0
  1.03851633225646630859e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.8849e-13  6.0491e+23  4.4633e-02    0
  1.11436015675293017578e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.1111e-13  6.4909e+23  4.1595e-02    0
  1.19574292708547143555e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.4390e-13  6.9649e+23  3.8764e-02    0
  1.28306915767802246094e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.8553e-13  7.4736e+23  3.6126e-02    0
  1.37677290502335156250e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.3484e-13  8.0194e+23  3.3667e-02    0
  1.47731992516813525391e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.9081e-13  8.6051e+23  3.1376e-02    0
  1.58520998876119482422e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.5257e-13  9.2335e+23  2.9240e-02    0
  1.70097936517188232422e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1936e-13  9.9078e+23  2.7250e-02    0
  1.82520348802596899414e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9052e-13  1.0631e+24  2.5396e-02    0
  1.95849981540812646484e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6547e-13  1.1408e+24  2.3667e-02    0
  2.10153089894768530273e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4371e-13  1.2241e+24  2.2056e-02    0
